id,position,name,course 0,course 1,course 2
0,UX Designer,Facebook,0,3,4
1,Researcher,IBM,0,1,2
2,Librarian,NYPL,0,4,5
3,Researcher,UMICH,1,3,5
4,UX Designer,Bloomberg,0,1,4
5,Data Analyst,JP Morgan,0,1,6
6,PhD,UIUC,0,3,7
7,PhD,UCLA,0,1,3
8,UX Designer,Facebook,0,3,4
9,Researcher,IBM,0,1,2
10,Librarian,NYPL,0,4,5
11,Researcher,UMICH,1,3,5
12,UX Designer,Bloomberg,0,1,4
13,Data Analyst,JP Morgan,0,1,6
14,PhD,UIUC,0,3,7
15,PhD,UCLA,0,1,3
16,UX Designer,Facebook,0,3,4
17,Researcher,IBM,0,1,2
18,Librarian,NYPL,0,4,5
19,Researcher,UMICH,1,3,5
20,UX Designer,Bloomberg,0,1,4
21,Data Analyst,JP Morgan,0,1,6
22,PhD,UIUC,0,3,7
23,PhD,UCLA,0,1,3
