uid,Specialization (3),Grad Date (4),Organization (8),Organization Department (9),Position Title (10),Position Type (11),City (12),State (Country) (12),Type of Organization/Industry (14),Employment Responsibilities (16),Most valueable SI skills/experience (22),Coursework relevance (23),Most important skills for job (24),Internship while at SI (25),Level of value from internship (26),Ideal Position (28),Salary
17,MSI/IPOL,Apr-09,Lehman College,,Bronx Institute Project Associate,Professional Permanent - Full Time,Bronx,NY,University/College,,,,,,,,
20,MSI/HCI/IEMP,May-09,Bridge Worldwide,User Experience Planning,Senior Experience Planner,Professional Permanent - Full Time,Cincinnati,OH,Advertising/PR/Marketing,"Consulting, Website/Database/Information Systems Development, E-Commerce/E-Marketing/Marketing/Competitive Intelligence/Analysis, Information Visualization, Usability","HCI, Business School Marketing Class",Extremely Relevant,,"Yes, Ford Motor Company, Dearborn",Moderately,5 - Satisfied,
47,MSI/LIS,Apr-09,Nolo,Sales and Marketing,Library Sales and Marketing Assistant,Professional Permanent - Full Time,Berkeley,CA,"Advertising/PR/Marketing, Multimedia/Publishing",Did not answer,My Internships,Somewhat relevant,"An understanding of libraries and different aspects of them (i.e. collection development), project management skills and presentation skills","Yes, Henry Holt Books for Young Readers and Entertainment Weekly",Extremely,9,
67,MSI/HCI,Apr-09,University of Washington,,PhD Student,Continuing for a PhD,,WA,,,,,,,,,
79,MSI/Tailored,May-09,University of Michigan,Ford School of Public Policy,Admissions & Recruitment Information Manager,Professional Permanent - Full Time,Ann Arbor,MI,University/College,"Business Analysis/Development, Website/Database/Information Systems Development, Usability, Records Preservation/Management, Research, Statistical/Data Analysis, Admissions/Higher Education Administration",My internship in my first year directly led to being offered this position,Somewhat relevant,"User centered design, systematic thinking about information problems, records management, IT and higher education coursework (ie open source and Open Educational Resources)","Yes, two actually, one at the admissions office in public policy and a second to work with a web designer creating a collaborative drupal based website",Extremely,9,
85,MSI/HCI,Apr-09,Oracle,,User Experience Researcher,Professional Permanent - Full Time,San Francisco,CA,,,,,,,,,
86,MSI/HCI+SC,May-09,Troubadour Mobile & University of Michigan Library,Did not answer,Product Developer & Product Manager,Professional Permanent - Part Time/Professional Temporary - Part Time,Ann Arbor,MI,Computer: Software/Internet,"Usability, Incentive Centered Design and Product Development",SI 682: Interface and Interaction Design (though this course lacks visual design instruction and practice) and Library 2.0 Student Design Competition,Extremely Relevant,"Learning a user/incentive centered design process and exposure to great resources on the process (methods, books, leaders in the field, etc)","Yes, University Library Sakaibrary Project, Troubadour Mobile",Extremely,8,
110,MSI/IEMP,Aug-08,Eli Lilly,Did not answer,Systems Analyst,Professional Permanent - Full Time,Indianapolis,IN,Healthcare,"Website/Database/Information Systems Development, Product Development","SI 501, PEP experience",Somewhat relevant,Project management and working within interdisciplinary project teams,"Yes, Deloitte & Touche",Extremely,8,
166,MSI HCI/ICD,Apr-09,University of Michigan,School of Information,Research Assistant,Professional Temporary - Full Time,Ann Arbor,MI,"Computer: Software/Internet, University/College",Research,Did not answer,Extremely Relevant,Did not answer,"Yes, Acer Inc",Neutral,5 - Satisfied,
171,MSI/HCI,Dec-09,RDW Group,iFactory,Associate Information Architect / User Experience,Professional Permanent - Full Time,Boston,MA,Computer: Software/Internet,"Website/Database/Information Systems Development, Usability, Research","Course: SI 682, 688, 658 Summer Intern at MIT",Very Relevant,"Wireframes, sitemaps, competitive assessment, Heuristic evaluation, surveys, prototypes","Yes, MIT",Extremely,8,
