uid,Specialization,Grad Date,Organization,Organization Department,Unified Titles,Position Title,Position Type,City,State,Industry,Type of Organization,Employment Responsibilities,Most valueable SI skills,Coursework relevance,Most important skills for job,Internship while at SI,Internship Organization or Past Experience,Level of value from internship,Ideal Position,Salary,Background,Background Discipline
1018,IAR,12/8/14,Alexandria Investment Research and Technology,Did not answer,Analyst,Systems Analyst,Professional Permanent - Full Time,Los Angeles,CA,Computer,"Computer: Software/Internet, Research","Website/Database/Information Systems Development, Information Visualization, Research, Search & Retrieval and Statistical/Data Analysis",Did not answer,5 - Extremely Relevant,Did not answer,Yes,,Moderately,7,,Art,Arts & Design
1104,ARM,4/9/14,Dickinson State University,Theodore Roosevelt Center,Archivist,Coordinator & Archivist,Professional Permanent - Full Time,Dickinson,ND,Museum,"Museum/Historical Society, University/College","Archives/Conservation, Digital Preservation/Digital Asset Management/Information Preservation, Metadata & Taxonomy Creation/Management, Project Management",My skills which got my internship at the Smithsonian and at the Museum of Dentistry on campus work on their digital projects,5 - Extremely Relevant,"Project management, group work, metadata discussions, projects on metadata from Digital Preservation classes",Yes,Smithsonian Institute of Archives,Extremely,7,,Art,Arts & Design
1105,ARM,4/8/14,Earlham College,,Archivist,"Archivist, Assistant ",Professional Permanent - Full Time,Richmond,IN,University,University/College,"Arrangement and description of manuscript collections, EAD Finding aid creation, working with IT/librarians in digitization projects",Internet sites and listservs,5 - Extremely Relevant,,Yes,,,,"$38,000 ",Art,Arts & Design
891,HCI,4/8/14,Stanford University,,Data Specialist,Data Specialist,Professional Permanent - Full Time,Palo Alto,CA,University,University/College,,"I understand better how organizations work, and that's helpful for somebody without prior full-time corporate or academic job experience",3 - Neutral,,Yes,IBM,Neutral,,"$43,000 ",Art,Arts & Design
1232,HCI/IEM,4/8/14,Yahoo!,,Interaction Designer,Interaction Designer - Mobile,Professional Permanent - Full Time,Sunnyvale,CA,Corporate,Corporate: web design,,"Si iTrack, on-campus interviewing (through SI), internet sites, contacts (professional and/or personal), UM Career Center and listservs",5 - Extremely Relevant,Design for Yahoo!  Mobile products,Yes,,Moderately,,"$70,000 ",Architecture,Arts & Design
1143,MSI,12/8/14,University of Michigan,Housing Information Technology Office,IT,Senior Network Administrator,Professional Permanent - Full Time,Ann Arbor,MI,University,University/College,"Website/Database/Information Systems Development, Website/Database/Information Systems Administration, Intellectual Property",My knowledge related to the information economy and intellectual property proved useful in obtaining my current position,4 - Somewhat Relevant,The overall breadth of knowledge and information I gained by taking classes at SI has helped me tremendously at my current position,No,,N/A,7,,Architecture,Arts & Design
1155,LIS,4/8/14,Baker University,,Librarian,Librarian - Electronic Services / Government Documents,Professional Permanent - Full Time,Baldwin City,KS,Library,Library: Academic,"FDLP collection coordinator, electronic services manager, and liason to various consortia","SI iTrack, on-campus interviewing (through SI), contacts (professiona and/or personal), and listservs",5 - Extremely Relevant,,Yes,,,,"$40,000 ",Architecture,Arts & Design
879,LIS,4/8/14,University of Michigan,University Libraries - Hatcher Graduate Library,Librarian,Librarian - Public Services,Professional Temporary - Full Time,Ann Arbor,MI,Library,Library: Academic,"In-person reference services, virtual reference services and technology consultations","SI iTrack, internet sites, contacts (personal and/or professional), UM career center (job fairs, on-campus interviewing, Mployment Link), other journals/newspapers and listservs ",2 - Not Very Relevant,,Yes,,,,"$42,000 ",Art,Arts & Design
867,ARM,4/8/14,New York Public Library,,Librarian,"Librarian, Assistant - Field Service",Professional Permanent - Full Time,New York,NY,Library,Library: Public,,"Flexibility/grasp of how to work independently and with busy people who are hard to reach, fluency with current technologies and their place in contemporary society (in the cultural heritage sector as well as other non-profit and for profit contexts), and the ability to build on foundation of specialized knowledge relevant to the preservation division as well as the library as a whole",5 - Extremely Relevant,,Yes,"The University Archives at the University of Fort Haire (Alice, South Africa) / Graduate Student Instructor, UM Art & Design",Extremely,,"$40,000+",Art,Arts & Design
1100,ARM,4/8/14,Detroit Public Library / National Automotive History,,Librarian,"Librarian, II",Professional Permanent - Full Time,Detroit,MI,Library,"Library: Public, Museum/Historical Society","Assisting patrons/researchers at reference desk, Process collections, and assist patrons with email/phone inquiries","SI iTrack, contacts (personal and/or professional) ",5 - Extremely Relevant,,Yes,,,,"$47,000 ",Art,Arts & Design
1145,IPOL,4/8/14,American Library Association,,Policy Analyst,Information Techology Policy Analyst,Professional Permanent - Full Time,Washington,DC,Government,Government/Public/NGO,,Did not answer,5 - Extremely Relevant,,Yes,Creative Commons,Extremely,,"$40 - $50,000",Architecture,Arts & Design
866,HCI,4/8/14,Third Coast Interactive,,President,Owner,Professional Permanent - Full Time,Milwaukee,WI,Computer,Computer: Software/Internet,,Did not answer,,,,,,,Did not answer,Art,Arts & Design
1022,Tailored,4/8/14,ADR Chambers,,President,Executive Director,Professional Permanent - Full Time,Toronto,Ontario (Canada),Government,Government/Public/NGO,,"Organization needs assistance with information flows and to set up case management and other systems to automate various work processes, store and share (digital) information.  The technology is here, but people are not on board, so user-centered SI approach, as well as digital life-cycle and database skills are proving extremely useful.",2 - Not Very Relevant,,Yes,"Office of Legal Counsel (Crow Nation, Montana) / Deputy SG, Permanent Court of Arbitration",Moderately,5,"$85,000 ",Art,Arts & Design
865,HCI,4/8/14,University of Michigan,Marketing & Design,Project Manager,Project Manager - Web,Professional Permanent - Full Time,Ann Arbor,MI,University,University/College,,,,,,,,,,Art,Arts & Design
985,ARM,4/8/14,Nuclear Regulatory Commission,,Information Manager,Records Management Specialist,Professional Permanent - Full Time,Rockville,MD,Government,Government/Public/NGO,,"Scanning, Digitization, Archiving and RM theory, Process development, Ehics and Technology",,,Yes,"Buhr Conservation Facility / Store Manager, KB Toys",Neutral,,"$58,000 + bonus",Art,Arts & Design
921,ARM,4/8/14,Nebraska Historical Society,,N/A,,Professional Permanent - Full Time,,NB,Museum,Museum/Historical Society,,,,,,,,,,Art,Arts & Design
992,ICD,4/9/14,Compuware,,Analyst,Online Marketing Analyst & Architect,Professional Permanent - Full Time,Detroit,MI,Corporate,Corporate: software,,,,,,,,,,Education,Humanities
455,ARM,4/9/14,"United States Army Garrison, West Point",Directorate of Human Resources,Analyst,Supervisory Program Analyst,Professional Temporary - Full Time,West Point,NY,Government,Government/Public/NGO,"Digital Preservation/Digital Asset Management/Information Preservation, Website/Database/Information Systems Administration, Project Management, Records Preservation/Management",Records management coursework--PLEASE INCLUDE A LOT MORE OF THAT IN THE FUTURE,4 - Somewhat Relevant,Dealing with people I strongly dislike in a calm and rational manner,Yes,Environmental Protection Agency,Moderately,1,,Philosophy,Humanities
52,IEM,5/6/14,American Library Association,,Analyst,Technology Policy Analyst,Professional Permanent - Full Time,Washington,DC,Government,Government/Public/NGO,,,5 - Extremely Relevant,,,,,9,,Journalism,Humanities
1077,ICD,12/9/14,"Syntel, Inc",IT Consulting,Analyst,Business Architect,Professional Permanent - Full Time,Phoenix,AZ,Corporate,Corporate: consulting,"Business Analysis/Development, Consulting","All ICD courses especially Information Economics, E-Commerce and Contracting and signaling",4 - Somewhat Relevant,"The projects, team work, and practical assignments",Yes,Deloitte & Touche,Extremely,8,,Education,Humanities
780,IEM,5/6/14,Michigan Administrative Information Systems MAIS,,Analyst,Business Systems Analyst,Professional Permanent - Full Time,Ann Arbor,MI,University,University/College,,,3 - Neutral,,,,,8,,English,Humanities
446,ARM,4/8/14,Columbia University,Rare Book and Manuscript Library,Archivist,Processing Archivist,Professional Permanent - Full Time,New York,NY,Library,Library: Academic,"Process manuscript collections, train and supervise support staff and students and serve on university library committees","SI iTrack, Internet sites and listservs",5 - Extremely Relevant,,Yes,,,,"$51,500 ",Library,Humanities
111,ARM,4/8/14,Missouri History Museum,,Archivist,"Archivist, Associate -  Digitization",Professional Permanent - Full Time,St. Louis,MO,Museum,Museum/Historical Society,,Knowledge of metadata standards and digital preservation,2 - Not Very Relevant,,Yes,"City of Ann Arbor (Energy Dept) / Editor, Industrial Quick Search",Moderately,,"$30,000 ",History,Humanities
1149,ARM,5/9/14,Clements Library,Did not answer,Archivist,Project Archivist,Professional Temporary - Full Time,Ann Arbor,MI,University,University/College,Archives/Conservation,"Access Systems for Archives, Preservation",5 - Extremely Relevant,"EAD, MARC, appraisal",Yes,"Bentley Historical Library, UM Law Library",Extremely,9,,Education,Humanities
202,PI,4/9/14,"University of California, Office of the President",California Digital Library,Archivist,Mass Digitization Project Specialist,Professional Permanent - Full Time,Oakland,CA,Library,Library: Academic,"Library Services, Digital Preservation / Digital Asset Management / Information Preservation, Project Management","Project management, digitization cost analysis",5 - Extremely Relevant,"Project management, digitization cost analysis",Yes,"Apple, Inc",Moderately,,,History,Humanities
17,IPOL,4/9/14,Lehman College,Bronx Institute,Associate,Project Associate,Professional Permanent - Full Time,Bronx,NY,University,University/College,,,,,,,,,,Journalism,Humanities
390,HCI,12/8/14,urturn.com LLC,Did not answer,Consultant,Usability and Design Consultant,Professional Temporary - Full Time,Ann Arbor,MI,Computer,Computer: Software/Internet,"Consulting, Website/Database/Information Systems Development, Usability, Product Development","SI 682, 522, 501 and 520",5 - Extremely Relevant,Did not answer,Yes,"Hitachi, ProQuest, UM Medical School",Extremely,4,,Library,Humanities
1151,IEM,5/9/14,Booz Allen Hamilton,Assurance and Resiliency,Consultant,Tier 1 Consultant,Professional Permanent - Full Time,McLean,VA,Corporate,Corporate: consulting,"Consulting, Information Security/Defense",Did not answer,5 - Extremely Relevant,"Information security incident analysis, enterprise information security planning, information security education.",Yes,Information Technology Industry Council,Neutral,10,,Education,Humanities
20,HCI/IEM,5/9/14,Bridge Worldwide,User Experience Planning,Information Architect,"Experience Planner, Senior",Professional Permanent - Full Time,Cincinnati,OH,Media,Advertising/PR/Marketing,"Consulting, Website/Database/Information Systems Development, E-Commerce/E-Marketing/Marketing/Competitive Intelligence/Analysis, Information Visualization, Usability","HCI, Business School Marketing Class",5 - Extremely Relevant,,Yes,"Ford Motor Company, Dearborn",Moderately,5,,Journalism,Humanities
738,Tailored,12/6/14,Enlighten,,Information Architect,Information Architect,Professional Permanent - Full Time,Ann Arbor,MI,Corporate,Corporate: web design,,"multiple usability internships, 622",5 - Extremely Relevant,understanding the importance of the user experience,,,,9,,English,Humanities
883,Tailored,5/9/14,General Electric,Aviation - IT,Information Manager,Information Management Leadership Program,Professional Permanent - Full Time,Cincinnati,OH,Computer,"Automotive/Transportation, Computer: Software/Internet, Consumer Products, Defense/Aerospace","Business Analysis/Development, Website/Database/Information Development, Website/Database/Information Systems Administration, E-Commerce/E-Marketing/Marketing/Competitive Intelligence/Analysis, Information Visualization, Usability, Incentive Centered Design, Project Management, Statistical/Data Analysis","The tailored specialization gave me a chance to attend a wide variety of courses in SI, CoE and the Business School",5 - Extremely Relevant,"Project Management, Incentive-Centered Design",Yes,"Dabur Inc, UMICHR",Neutral,8,,History,Humanities
