id,number,name,popularity
0,500,Information in Social Systems,0.99
1,501,Contextual Inquiry and Project Management ,0.96
2,502,Networked Computing,0.76
3,694,Information Visualization,0.3
4,644,Database Application Design,0.25
5,539,Design of Complex Websites,0.6
6,658,Information Architecture,0.2
7,520,Graphic Design,0.45
8,593,Information in Social Systems,0.99
9,591,Contextual Inquiry and Project Management ,0.96
10,500,Information in Social Systems,0.99
11,501,Contextual Inquiry and Project Management ,0.96
12,502,Networked Computing,0.76
13,694,Information Visualization,0.3
14,644,Database Application Design,0.25
15,539,Design of Complex Websites,0.6
16,658,Information Architecture,0.2
17,520,Graphic Design,0.45
18,593,Information in Social Systems,0.99
19,591,Contextual Inquiry and Project Management ,0.96
