alumni_id,organization,job_title,job_category,industry,background,background_category,job_category_id,background_category_id
14,Microsoft,UX Researcher,User Experience Researcher,Corporate,Journalism,Humanities,0,0
15,University of Michigan,UX Designer,User Experience Designer,University,English,Humanities,1,0
17,Lehman College,Associate,Project Associate,University,Journalism,Humanities,2,0
20,Bridge Worldwide,Information Architect,"Experience Planner, Senior",Media,Journalism,Humanities,3,0
21,Procter & Gamble,Information Manager,Information Scientist,Corporate,Journalism,Humanities,4,0
45,Bravo Health,Project Manager,Health Services Training and Development Specialist,Healthcare,English,Humanities,5,0
47,Nolo,Library Media Specialist,Library Sales and Marketing Assistant,Media,Marketing,Social Science,6,1
52,American Library Association,Analyst,Technology Policy Analyst,Government,Journalism,Humanities,7,0
60,Logistics Innovation Agency / U.S. Army,Project Manager,"Logistics Management Specialist, Intern",Government,English,Humanities,5,0
67,University of Washington,student,PhD Student,University,Computer Science,Science & Math,8,2
68,Microsoft,IT,Software Designer- Test,Corporate,Computer Science,Science & Math,9,2
69,Chicago Public Library,Librarian,Librarian - Special Projects,Library,English,Humanities,10,0
79,University of Michigan,Information Manager,Information Manager - Admissions & Recruitment,University,Computer Science,Science & Math,4,2
85,Oracle,UX Researcher,User Experience Researcher,Corporate,Computer Science,Science & Math,0,2
86,Troubadour Mobile / University of Michigan Library,Product Manager,Product Developer & Product Manager,Computer,Computer Science,Science & Math,11,2
90,Self-Employed,N/A,Did not answer,Financial,History,Humanities,12,0
110,Eli Lilly,Analyst,Systems Analyst,Healthcare,Computer Science,Science & Math,7,2
111,Missouri History Museum,Archivist,"Archivist, Associate -  Digitization",Museum,History,Humanities,13,0
163,"Aspera, Inc",UX Developer,Usability Engineer,Corporate,Computer Science,Science & Math,14,2
166,University of Michigan,Researcher,Research Assistant,Computer,Computer Science,Science & Math,15,2
171,RDW Group,Information Architect,"Information Architect & User Experience, Associate",Computer,Computer Science,Science & Math,3,2
175,HSN - Home Shopping Network,Product Manager,"Product Manager, Associate - User Experience",Media,History,Humanities,11,0
184,Google,UX Researcher,User Experience Researcher,Corporate,English,Humanities,0,0
185,University of Michigan,student,PhD Student,University,History,Humanities,8,0
195,GMAC Financial Services,Project Manager,Administrative Assistant,Financial,Computer Science,Science & Math,5,2
196,Roundarch,Information Architect,Information Architect,Computer,Computer Science,Science & Math,3,2
199,Self-Employed,Information Architect,Information Architect,Corporate,Computer Science,Science & Math,3,2
202,"University of California, Office of the President",Archivist,Mass Digitization Project Specialist,Library,History,Humanities,13,0
217,Lewis & Clark College,student,Masters Student,University,Computer Science,Science & Math,8,2
224,Oakland University,Librarian,Librarian - Information Literacy and Reference,Library,History,Humanities,10,0
229,"SAP Labs, India",UX Designer,User Experience Intern,University,Computer Science,Science & Math,1,2
241,DePaul University,student,PhD Student,University,Computer Science,Science & Math,8,2
261,University of Michigan,Analyst,Business Analyst & Interaction Designer,Computer,Computer Science,Science & Math,7,2
263,"University of North Carolina, Chapel Hill",Librarian,Librarian - City & Regional Planning,Library,History,Humanities,10,0
271,The Gallup Organization,Consultant,Consulting Specialist,Corporate,Computer Science,Science & Math,16,2
288,Chelsea District Library / Westland Public Library,Librarian,Librarian - Reference,Library,Library,Humanities,10,0
295,Internet Archive,Archivist,Collections Manager,Government,Computer Science,Science & Math,13,2
303,University of Michigan,student,PhD Student,University,Computer Science,Science & Math,8,2
340,St. Jude Medical Center,UX Designer,Human Factors Design Engineer,Healthcare,English,Humanities,1,0
342,"Amazon.com, Inc",IT,Software Development Engineer,Computer,Computer Science,Science & Math,9,2
347,Jstor,UX Designer,User Experience Specialist,Media,Computer Science,Science & Math,1,2
354,Sears Holdings,Information Architect,User Experience Architect,Corporate,Computer Science,Science & Math,3,2
355,"University of California, Berkeley",student,PhD Student,University,Library,Humanities,8,0
363,Ann Arbor Hands-on Museum,Project Manager,"Evaluation, PR & Grants Specialist",Museum,Library,Humanities,5,0
364,Iron Mountain,Consultant,Consultant,Corporate,Marketing,Social Science,16,1
371,High Monkey Consulting,Consultant,Collaboration Consultant,Computer,Marketing,Social Science,16,1
376,Lockheed Martin,UX Designer,Usability Specialist - Interface Designer / Human Fac,Government,Computer Science,Science & Math,1,2
383,University of Michigan,Policy Analyst,Copyright Specialist,Library,Computer Science,Science & Math,17,2
390,urturn.com LLC,Consultant,Usability and Design Consultant,Computer,Library,Humanities,16,0
399,University of Michigan,Librarian,Librarian - Undergraduate Learning,Library,Computer Science,Science & Math,10,2
403,Yahoo!,Interaction Designer,Interaction Designer,Computer,Mathematics,Science & Math,18,2
416,University of Michigan,Archivist,"Curator of Books, Assistant ",Library,Computer Science,Science & Math,13,2
427,Steelcase,Archivist,"Archivist, Assistant ",Manufacturing,Computer Science,Science & Math,13,2
429,University of Michigan,Librarian,Librarian - Engineering,Library,Computer Science,Science & Math,10,2
434,University of Michigan,N/A,,University,English,Humanities,12,0
435,Alexandria City Public Schools,Library Media Specialist,Library Media Specialist,Library,Computer Science,Science & Math,6,2
441,Northcentral University,Librarian,Librarian - eReference,Library,English,Humanities,10,0
446,Columbia University,Archivist,Processing Archivist,Library,Library,Humanities,13,0
455,"United States Army Garrison, West Point",Analyst,Supervisory Program Analyst,Government,Philosophy,Humanities,7,0
479,"University of California, San Diego",Product Manager,GIS Coordinator,Library,English,Humanities,11,0
489,Microsoft Research,Researcher,"Researcher, Assistant ",Corporate,Library,Humanities,15,0
492,Yahoo!,Interaction Designer,Interaction Designer,Computer,Computer Science,Science & Math,18,2
496,Global Educational Excellence,President,Technology Director,Corporate,English,Humanities,19,0
497,Library of Congress,Library Media Specialist,Library Technician,Library,Computer Science,Science & Math,6,2
501,Gale Group,N/A,,Corporate,English,Humanities,12,0
508,University of Michigan,student,PhD student,University,English,Humanities,8,0
528,Epic Systems,IT,Technical Services Engineer,Corporate,English,Humanities,9,0
530,University of Michigan,Librarian,Digital Librarian,Library,Computer Science,Science & Math,10,2
533,"University of Colorado, Boulder",Librarian,Librarian - Art & Architecture,Library,Computer Science,Science & Math,10,2
537,Deloitte U.S. firms,UX Developer,Usability Engineer,Corporate,English,Humanities,14,0
557,University of Michigan,Researcher,Independent Researcher,University,Computer Science,Science & Math,15,2
558,Cisco Systems,Interaction Designer,Interaction Designer,Computer,Computer Science,Science & Math,18,2
559,Google,UX Researcher,User Experience Researcher,Corporate,English,Humanities,0,0
564,San Jose Public Library,Librarian,"Librarian, I",Library,International Relations,Social Science,10,1
566,Oracle,UX Developer,"Usability Engineer, Intern",Corporate,International Relations,Social Science,14,1
573,National Security Archive,Librarian,Librarian - Indexing,Library,English,Humanities,10,0
583,Silicon Storage Technology,Analyst,Business Analyst,Computer,International Relations,Social Science,7,1
598,Canton Public Library,Librarian,Adult Services Substitute,Library,Computer Science,Science & Math,10,2
601,Fast Switch,UX Designer,User Interface Designer,Computer,Computer Science,Science & Math,1,2
611,"Adobe Systems, Inc",UX Designer,Experience Designer,Computer,Computer Science,Science & Math,1,2
622,University of Michigan,Researcher,Research Assistant,University,Political Science,Social Science,15,1
623,Columbia University,Librarian,Electronic Resources Librarian,Library,IMS,Science & Math,10,2
639,University of Michigan,Archivist,Systems Librarian & Archivist,University,Political Science,Social Science,13,1
643,National Archives and Records Administration,Archivist,Archives Technician,Museum,IMS,Science & Math,13,2
647,NARA,Archivist,Intern,Government,Political Science,Social Science,13,1
651,National Archives and Records Administration,Archivist,Archives Technician,Government,Political Science,Social Science,13,1
652,Confidential,Associate,Associate,Computer,Political Science,Social Science,2,1
664,Laserfiche,UX Designer,User Experience Designer,Computer,Business,Social Science,1,1
675,CFA Institute,UX Designer,Web Interaction Designer,Government,History,Humanities,1,0
682,Ohio Historical Society,Archivist,"Archivist, I - Government Records",Museum,Psychology,Social Science,13,1
686,University of Michigan,Librarian,Librarian - Special Projects,Library,IMS,Science & Math,10,2
698,Duke University,Archivist,Archivist,Library,IMS,Science & Math,13,2
727,Infinity Primary Care,Analyst,Support Analyst,Healthcare,Psychology,Social Science,7,1
738,Enlighten,Information Architect,Information Architect,Corporate,English,Humanities,3,0
745,Information Services Group,Data Specialist,Data Targeting Associate,Computer,IMS,Science & Math,20,2
751,University of Michigan,Researcher,Research Intern,University,IMS,Science & Math,15,2
754,SocialToaster,Project Manager,Account Manager,Computer,Psychology,Social Science,5,1
756,Self-Employed,UX Designer,User Experience Designer,Computer,Psychology,Social Science,1,1
775,"University of Texas, Arlington",Librarian,"Librarian - Communication, English and History",Library,IMS,Science & Math,10,2
780,Michigan Administrative Information Systems MAIS,Analyst,Business Systems Analyst,University,English,Humanities,7,0
794,Enlighten,Information Architect,Information Architect,Corporate,Political Science,Social Science,3,1
809,Mercedes-Benz Technology,Associate,Cooperation Partner,Corporate,Psychology,Social Science,2,1
813,Microsoft,UX Researcher,User Experience Researcher,Corporate,English,Humanities,0,0
825,Lake Orion Community Schools,Library Media Specialist,Long-term Substitute Library Media Specialist,Library,Psychology,Social Science,6,1
827,Sears Holdings,Information Architect,User Experience Architect,Computer,Psychology,Social Science,3,1
837,University of Michigan,Librarian,Librarian - Undergraduate Learning,Library,Psychology,Social Science,10,1
842,"SourceForge, Inc",UX Designer,Software Designer,Computer,History,Humanities,1,0
845,Arizona State University,Archivist,Project Archivist,University,Marketing,Social Science,13,1
856,University of Michigan,Archivist,Audio Digitization Specialist,Library,Psychology,Social Science,13,1
864,Blackbaud,Interaction Designer,"Interaction Designer, II",Corporate,Marketing,Social Science,18,1
865,University of Michigan,Project Manager,Project Manager - Web,University,Art,Arts & Design,5,3
866,Third Coast Interactive,President,Owner,Computer,Art,Arts & Design,19,3
867,New York Public Library,Librarian,"Librarian, Assistant - Field Service",Library,Art,Arts & Design,10,3
876,Jstor,Librarian,Librarian - Production,Media,Psychology,Social Science,10,1
879,University of Michigan,Librarian,Librarian - Public Services,Library,Art,Arts & Design,10,3
883,General Electric,Information Manager,Information Management Leadership Program,Computer,History,Humanities,4,0
891,Stanford University,Data Specialist,Data Specialist,University,Art,Arts & Design,20,3
909,Plymouth Canton Community School District,Library Media Specialist,Library Media Specialist,Library,Electrical Engineering,Science & Math,6,2
910,LittlePinch,President,President,Sales,Electrical Engineering,Science & Math,19,2
914,University of Michigan,Researcher,Research Associate,University,Business,Social Science,15,1
916,VoyageurWeb,UX Designer,User Interface Designer / Developer,Computer,Business,Social Science,1,1
921,Nebraska Historical Society,N/A,,Museum,Art,Arts & Design,12,3
936,"The Winthrop Group, Inc",Archivist,Archivist,Corporate,Mathematics,Science & Math,13,2
958,University of Michigan,Consultant,Support Consultant & QA Tester,University,Mathematics,Science & Math,16,2
968,Hawken School,Librarian,Librarian - Upper School,Library,Education,Humanities,10,0
971,Alaska Geographic,N/A,Vendor,Media,Education,Humanities,12,0
985,Nuclear Regulatory Commission,Information Manager,Records Management Specialist,Government,Art,Arts & Design,4,3
992,Compuware,Analyst,Online Marketing Analyst & Architect,Corporate,Education,Humanities,7,0
1009,Oracle,Interaction Designer,"Interaction Designer, Intern",Computer,Education,Humanities,18,0
1018,Alexandria Investment Research and Technology,Analyst,Systems Analyst,Computer,Art,Arts & Design,7,3
1022,ADR Chambers,President,Executive Director,Government,Art,Arts & Design,19,3
1063,ForeSee Results,UX Researcher,Usability Auditor,Computer,Education,Humanities,0,0
1076,University of Michigan,Project Manager,Projects Coordinator - Digital Preservation,University,Education,Humanities,5,0
1077,"Syntel, Inc",Analyst,Business Architect,Corporate,Education,Humanities,7,0
1091,ProQuest,Archivist,Content Acquisitions Specialist,Media,IMS,Science & Math,13,2
1095,University of Washington,student,PhD student,University,English,Humanities,8,0
1100,Detroit Public Library / National Automotive History,Librarian,"Librarian, II",Library,Art,Arts & Design,10,3
1101,Chevron Corporation,Information Manager,Information Management Consultant,Corporate,English,Humanities,4,0
